0,1
Years,
Factory Buildings,30
Buildings (other than factory buildings),60
Plantand Equipment (including continuous process plants),10-20
Scientific research equipment,8
Furnitureand Fixtures,8
Office EquipmentandVehicles,5
Information Technology Hardware,4
