0,1,2,3,4
,As a^,As a^,,As at j
,"December 31, 2017","December 31, 2016",,"January 1, 2016"
Not due,"3,450.46","2,976.86",,"2,890.92"
Due less than 180 days,"1,899.85","1,344.09",,"1,488.38"
Due greater than 180 days,10.00,55.09,,26.48
"5,360.31","4,376.04",,"4,405.78",
Average age (days)Movement in allowance for doubtful receivables,50,45,,49
Balance at the beginning of the year,74.81,103.29,,
Expense for the year,44.43,18.72,,
Amounts recovered during the year,(30.42),(61.73),,
Written-off during the year,13.89,14.53,,
