0,1,2,3
13 - Cash and cash equivalents,(Rupees in Million),,
Particulars,"December 31, 2017","December 31, 2016","January 01, 2016"
Balances with banks,649,305,192
Cash on hand,*,*,*
Deposits with original maturity of less than 3 months,"6,566","5,230","5,474"
Total,"7,215","5,535","5,666"
* denotes figure less than a million,,,
14 - Other bank balances,,,
Particulars,"December 31, 2017","December 31, 2016","January 01, 2016"
Margin money deposits,58,54,38
Unpaid dividend account,26,21,18
Total,84,75,56
