0,1,2
,2017,2016
Interest Income,108.21,87.24
Dividend Income on current investments,532.19,449.43
Gain (net) on sale of current investments,12.82,-
Net gain on account of foreign exchange fluctuations,31.45,-
Rental income from letting out of property,56.30,60.12
Export benefits (including Deemed Exports),11.91,27.83
Gain on DEPB license,23.70,16.52
Profit on sale of fixed assets (net),3.31,2.94
Royalty and commission,18.14,15.46
Provisions no longer required written back,-,5.08
Miscellaneous income,58.75,99.11
,856.78,763.73
