0,1,2,3,4,5,6,7,8,9,10
Name of Assets,Gross Block,Depreciation,Net Block,,,,,,,
"As at April01, 2017",AdditionDuring theYear,DisposalsDuring the Year,"As at March31, 2018","As at April01, 2017",AdditionDuring the Year,Ded. During the Year,"As atMarch 31, 2018","As atMarch 31, 2018","As atMarch 31, 2017",
Computer Software,14.18,0.58,-,14.76,13.42,0.16,-,13.58,1.18,0.76
Total,14.18,0.58,-,14.76,13.42,0.16,-,13.58,1.18,0.76
