0,1,2,3,4,5,6,7,8,9,10
Name of Assets,Gross Block,Depreciation,Net Block,,,,,,,
"As at April01, 2016",AdditionDuring theYear,DisposalsDuring the Year,"As at March31, 2017","As at April01, 2016",AdditionDuring the Year,Ded. During the Year,"As atMarch 31,2017","As atMarch 31,2017","As atMarch 31,2016",
Computer Software,14.18,-,-,14.18,13.35,0.06,-,13.41,0.77,0.83
Total,14.18,-,-,14.18,13.35,0.06,-,13.41,0.77,0.83
