0,1,2
,"As at31st March, 2018","As at31st March, 2017"
Non-Current,,
Security deposits,28,24
Contingent consideration,91,49
TOTAL (A),119,73
CURRENT,,
Unpaid dividends [Refer (a) below],140,116
Derivatives - foreign exchange forward contracts,4,13
Contingent consideration payable,13,-
"Other payables (payable for purchase of property, plant and equipment etc.)",57,62
Deferred borrowings,-,3
Book Overdraft,-,1
TOTAL (B),214,195
TOTAL (A+B),333,268
"a) There are no amounts due for payment to the Investor Education and Protection Fund under Section 125 of the Companies Act,",,
