0,1,2
Opening Balance,300000.00,200000.00
Transfer From Surplus in Statement of Profit,0.00,100000.00
Closing Balance,|        300000.00,300000.00
(b) Share Premium,,
Opening Balance,100000000.00,100000000.00
Add: Share premium on preference shares issued,0.00,0.00
Closing Balance,| ioooooooo.ooI,100000000.00
(c) Surplus in statement of Profit,,
Opening Balance,13812076.84,84168834.08
Add: Profit for the year,8095130.79,-70356757.24
Add: Capital Subsidy,1500000.00,1500000.00
Less: Appropriations,,
Transfer to General Reserve,0.00,0.00
Proposed Dividend,0.00,0.00
Tax on Proposed Dividend,0.00,0.00
,0.00,0.00
