0,1,2
"As at December 31, 2017 Authorised equity share capital:40,000,000 (December 31, 2016:            400.0040,000,000; January   1,   2016:40,000,000) Equity Shares of'10 each","As atDecember 31, 2016400.00","As atJanuary 1, 2016400.00"
Total             400.00,400.00,400.00
"Issued, subscribed and Paid up :34,807,844 (December 31, 2016:                 348.0834,807,844 ; January 1, 2016:34,807,844) Equity Shares of'10each",348.08,348.08
Total             348.08,348.08,348.08
