0,1,2,3,4,5
"December 31, 2017",rAmortisedCost,Fair value through profit and loss,Fair value through other comprehensive income,Derivative instrument in hedging relationship,Total carrying / fair value
Cash and cash equivalents,882.53,-,-,-,882.53
Other bank balances,150.26,-,-,-,150.26
Investments in mutual fund units,-,189.19,-,-,189.19
Trade receivables,"4,142.29",-,-,-,"4,142.29"
Unbilled revenue,329.92,-,-,-,329.92
Other financial assets,591.25,-,-,722.34,"1,313.59"
Investments in equity shares,-,-,4.58,-,4.58
