0,1,2,3,4,5,6,7
Total,995.05,117.10,-,"1,112.15",235.93,-,"1,348.08"
Deferred tax liabilities,,,,,,,
Unrealised gain on cash flow,3.86,-,78.14,82.00,-,34.60,116.60
hedges,,,,,,,
Depreciation,169.51,13.18,-,182.69,21.77,-,204.46
Total,173.37,13.18,78.14,264.69,21.77,34.60,321.06
Net deferred tax asset,821.68,103.92,(78.14),847.46,214.16,(34.60),"1,027.02"
