0,1,2,3,4,5,6,7,8,9,10
SRI ARUMUGA ENTERPRISE LIMITED,,,,,,,,,,
DEPRECIATION FOR BOOK PURPOSE,,,,,,,,,,
PARTICULARS,COST AS AT,ADDITIONS,SALE,COST AS AT,DEPRECIATION,WDVAS ON,WDVAS ON,,,
01.04.2016,31.03.2017,01.04.2016      1,FOR THE YEAR  |,WITHDRAWN   I,31.03.2017,31.03.2017,31.03.2016,,,
LAND,30563100.00,518645.00,0.00,31081745.00,0.00,0.00,0.00,0.00,31081745.00,30563100.00
PLANTS MACHINERY,2505106.00,4768340.00,0.00,7273446.00,960221.92,501738.84,0.00,1461960.76,5811485.24,1544884.08
OFFICE EQUIPMENTS,19809.00,1945.00,0.00,21754.00,16149.81,2199.96,0.00,18349.77,3404.23,3659.19
FURNITURE & FITINGS,237301.00,1138789.00,0.00,1376090.00,123976.93,319337.46,0.00,443314.39,932775.61,113324.07
ELECTRICAL EQUIPMENT,88550.00,1212649.00,0.00,1301199.00,40261.39,221233.17,0.00,261494.55,1039704.45,48288.61
VEHICLES,2612618.00,5305900.00,0.00,7918518.00,1430168.61,1214120.35,0.00,2644288.97,5274229.03,1182449.39
COMPUTERS,216369.00,0.00,0.00,216369.00,196301.94,6949.21,0.00,203251.15,13117.85,20067.06
,36242853.00,12946268.00,0.00,49189121.00,2767080.60 I,2265579.00 I,0.00,5032659.60,44156461.40,33475772.40
