0,1
Name of Segment,Comprises
Textile Consumables and TextileMachinery,"Perforated Rotary Screens, Lacquer & Auxiliary Chemicals, Rotary Screen Printing Machine, Engraving Equipment, Components and Spares, Digital Ink"
Graphics Product,"Anilox Rollers, Rotamesh screens and RotaPlate"
Galvanic,Galvano consumables
