0,1,2,3,4,5
Allowance for doubtful debts,10.07,9.18 -,19.25,0.38 -,19.63
and advances,,,,,
Employee benefit obligations,67.49,36.82 -,104.31,(11.65) -,92.66
Provision for severance pay,-,30.00 -,30.00,(27.98)             -,2.02
Minimum alternate tax credit,917.49,41.10           -,958.59,275.18           -,"1,233.77"
