0,1,2
Cash and cash equivalents,As at 31 March 2016(Rs. in laks),As at 31 March 2015(Rs. in laks)
a. Balances with banks,0.97,6.77
b. Cash on hand,22.81,0.13
Total,23.78,6.90
K. Short term loans and advances,,
Short-term loans and advances,As at 31 March 2016(Rs. in laks),As at 31 March 2015(Rs. in laks)
a. Loans and advances to related parties,,
"Secured, considered good",—,—
"Unsecured, considered good",5.50,5.50
Doubtful,—,—
Less: Provision for doubtful loans and advances,—,—
,5.50,5.50
b. Others,,
"Secured, considered good",—,—
"Unsecured, considered good",,
Earnest Money Deposit,0.74,0.74
Advance recoverable in cash or kind,1737.12,1023.23
Doubtful,—,—
Less: Provision for doubtful loans and advances,—,—
,1737.86,1223.97
,1743.36,1229.47
