0,1,2
Particulars,As at31-Mar-2017,As at31-Mar-2016
(As Valued and certified by the Management)a. Raw Materials $b. Stores and sparesc. Finished goodsd. Work-in-progresse. Realisable Waste,"225.641,004.111,938.67148.411.39","562.712,367.392,965.474,919.242.90"
Total,"3,318.22","10,817.71"
