0,1
Sale of products (inclusive of excise duty)Sale of servicesOther Operating Revenue- Sale of scrap- Export incentives,"Year ended December 31, 2017 9,508.86105.9934.3443.28"
,Total              77.62
Revenue from Operations,"9,692.47"
