0,1,2
Particulars,"December 31, 2017","December 31, 2016"
Interest,721,605
Rent,1,2
Exchange differences net,66,24
Gain on sale of property plant and equipment,-,2
Miscellaneous Income,19,31
Total,807,664
27 - Cost of materials consumed,,
Particulars,"December 31, 2017","December 31, 2016"
Inventory at the beginning of the year,"1,712","1,925"
Add: Purchases,"6,354","5,964"
Less: Inventory at the end of the year,"1,914","1,712"
