0,1,2
"For the Year Ended March 31,",2018,2017
Dividend on investment in Mutual,9.02,9.00
fund units,,
Interest income on financial assets-,17.68,22.27
carried at amortised cost,,
Dividend from Subsidiary,13.89,-
Net Gain / (Loss) on foreign,0.09,(0.17)
currency,,
Profit on sale of assets/,0.38,0.60
investments,,
Others,0.71,0.12
total,41.77,31.82
