0,1,2,3
,ComputerSoftware,"Copyrights, patents and other intellectual property rights, services and operating rights",Total
Opening gross carrying amount as on January,62.41,59.26,121.67
"1, 2017",,,
Additions,3.23,-,3.23
"Gross carrying amount as on December 31,",65.64,59.26,124.90
2017,,,
Accumulated Amortisation,,,
"Balance as at January 1, 2017",45.37,53.07,98.44
Amortisation charge for the year,6.80,1.17,7.97
Closing accumulated depreciation as at,52.17,54.24,106.41
"December 31, 2017",,,
"Net carrying value as on December 31, 2017",13.47,5.02,18.49
