0,1,2
Particulars,2016-17,2015-16
Profit after tax (as per profit and loss A/c),"(14,57,65,654)","(51,77,32,966)"
No. of Equity shares,"1,89,06,675","1,89,06,675"
Nominal value,10,10
Earnings per share (in Rs.),-7.71,-27.38
