0,1,2
Particulars,"Year endedDecember 31,2017","Year endedDecember 31,2016"
Profit Attributable to equity shareholders,"25,59,85,471","22,39,45,482"
Weighted average number of equity shares (Nos.),"20,88,016","20,88,016"
Nominal value of an equity share,10,10
Earnings Per Share (Basic and Diluted),122.60,107.25
