0,1,2,3,4
Particulars,"For the year endedDecember 31, 2017","For the year endedDecember 31, 2016",,
,(No. of Shares),('),(No. of Shares),(')
Balance at the beginning of the year,"20,88,016","2,08,80,160","20,88,016","2,08,80,160"
Add: Shares issued during the year,-,-,-,-
Balance as at the end of the year,"20,88,016","2,08,80,160","20,88,016","2,08,80,160"
