0,1,2,3,4,5
Currency hedged (Sell contracts),"December 31, 2017",,"rDecember 31, 2016'",,"rJanuary 1, 2016"
USD,152.88,,141.82,,156.94
Euro,3.90,,4.20,,5.60
GBP,7.50,,4.20,,4.20
