0,1
"December 31, 2017",
Claims against the Group not,36.74
acknowledged as debts,
Taxation matters in dispute,122.45
pending at various stages of,
appeal,
Excise and Service Tax matters,497.78
Total,656.97
b)   Capital commitments,
