0,1,2,3,4,5
Name of Shareholder,"As atDecember 31, 2017 |","As at!December 31, 2016",,"As at^January 1, 2016",
HT Global IT Solutions,No. of shares held,"211,318,590","215,047,193",,"215,047,193"
Holdings Ltd. (HoldingCompany),% of holding,71.20%,71.20%,,71.31%
HDFC Trustee Company Ltd.,No. of shares held,"18,885,481",-,,-
,% of holding,6.36%,-,,-
