0,1,2
Asset Class,Useful Life,
Factory Building,30 years,
Non-Factory Building,60 years,
Continuos Process Plant (Plant and Equipment),,20 years
Other Plant and Equipment,7-24 years,
Furniture and Fixtures,10 years,
Office Equipment,,5 years
Vehicles,,8 years
Boat and water equipments,13 years,
Aircraft / Helicopter,,11 - 20 years
