0,1,2,3,4,5,6
,"As atDecember 31, 2017","As atDecember 31, 2016","As atJanuary 1,2016",,,
Number ofshares,Amount,Number ofshares,Amount,Number ofshares,Amount,
"Authorised:Equity shares of INR 2 eachRedeemable preference shares of INR 100 eachTotalIssued, subscribed and fully paid upEquity shares of INR 2 eachTotal","590,000,0004,900,000","1,180.00490.00","590,000,0004,900,000","1,180.00490.00","590,000,0004,900,000","1,180.00490.00"
"594,900,000","1,670.00","594,900,000","1,670.00","594,900,000","1,670.00",
"336,345,679",672.69,"336,345,679",672.69,"336,345,679",672.69,
"336,345,679",672.69,"336,345,679",672.69,"336,345,679",672.69,
