0,1,2,3,4,5,6,7,8,9,10
PARTICULARS,COST AS AT01.04.2016,ADDITIONS,SALE,COST AS AT31.03.2017,DEPRECIATION,WDVAS ON31.03.2017,WDVAS ON31.03.2016,,,
01.04.2016      1,FOR THE YEAR  |,WITHDRAWN,31.03.2017,,,,,,,
SOFTWARE,226000.00,0.00,0.00,226000.00,196877.57,16952.42,0.00,213830.00,12170.00,29122.43
,226000.00,0.00,0.00,226000.00,196877.57 I,16952.42 1,0.00,213830.00,12170.00,29122.43
