0,1,2,3,4,5
Particulars,r,USD,EUR,GBP,Others*
Net financial assets,,"3,125.02",39.19,58.69,123.31
Net financial liabilities,,"1,076.23",19.78,4.06,8.92
Net assets/(liabilities),,"2,048.79",19.41,54.63,114.39
