0,1,2,3,4,5,6
Particulars,As at 31 st March 2018,As at 31 st March 2017,As at 31 st March 2016,,,
No. Of Shares,Amount,No. Of Shares,Amount,No. Of Shares,Amount,
AuthorisedEquity Shares of Re 1/- each,"250,000,000","2,500.00","250,000,000","2,500.00","250,000,000","2,500.00"
Total,"250,000,000","2,500.00","250,000,000","2,500.00","250,000,000","2,500.00"
IssuedEquity Shares of Re. 1/- each,"235,000,000","2,350.00","217,600,000","2,176.00","210,000,000","2,100.00"
Total,"235,000,000","2,350.00","217,600,000","2,176.00","210,000,000","2,100.00"
