0,1,2,3
,(c) Provisions,"2,538","2,544"
,fd} Current tax liabilities (net),"2,727","2,243"
,Sub-total,"2,98,135","3,75,734"
,,,
,Total Equity & Liabilities,"9,92,030","10,97,905"
