0,1,2,3,4
Particulars,Standalone,Consolidated,,
,Audited,Audited,Audited,Audited
,As at,As at,As at,As at
,31.03.2018,31.03.2017,31.03.2018,31.03.2017
"A. ASSETS(1) Non-current assets(a) Property, Plant S Equipment","65,174","27,645","3,63,380","2,02,994"
(b) Capital work-in-progress,"5,965","2,210","67,806","57,963"
(c) Goodwill,"3,91,138",-,"6,27,542",-
(d) Other intangible assets,"2,10,004","1,128","2,27,569","1,235"
(c) Investment accounted for using the equity method(I) Financial assets(i) Investments,"32,298","30,321","15,000","15,000"
(ii) Loans,"13,488",9.510,"1,534",986
(iii) Other financial assets,275,19,"3,601",37
(g) Deferred tax assets (net),,"4,377","60,265","51,174"
(h) Current tax assets (net),"7,347","3,835","10,774","4,969"
(i) Other non-current assets,"12,487","5,328","19,310","13,431"
(2) Current Assets(a) Inventories,(0),,"3,805","1,308"
(b) Financial assets(i)    Investments(ii)    Trade receivables,"12,776","8,141","14,599","1,4818,697"
(iii) Cash and cash equivalents,"26,510","11,969","30,196","17,332"
(iv) Bank balances other than (iii) above,"12,742","10,955","26,104","11,892"
(v) Loans,164,"1,110",648,"1,281"
(vi) Olher financial assets,"3,14,966","78,031","3,175","4,142"
(c) Other current assets,"25,544","6,684","43,404","23,093"
Total Assets,11.30.878,"2,01.263",15.18.712,4.17.015
EQUITY AND LIABILITIESEQUITY(a) Equity share capital,"18,413","10,659","18,413","10,660"
(b) Other equity,"6,54,792","17,096","6,57,000","29,921"
(c) Non-controlling Interest,-,-,(1.808),(878)
,"6,73,205","27,755","6,73,605","39,703"
LIABILITIES(1) Non-current liabilities(a) Financial liabilities(i) Borrowings,869,,"1,79,488","58,133"
(ii) Olher financial liabilities,780,315,"5,263","10,791"
(b) Provisions,"1,392","1,088","4,084",2.307
(c)    Deferred Tax Liabilities (net)(d)    Other non-current liabilities,"43,9111,404","1,295","12,139","1,671"
(2) Current liabilities(a) Financial liabilities(i) Borrowings,"12,403",,"45,322",
(ii) Trade payables,"54,409","11,851","67,018","18,451"
(iii) Olher financial liabilities,"13,206","4,577","1,44,904","1,04,113"
(b) Other current liabilities,"50,502","14,492","1,08,023","41,932"
(c) Provisions,"2,78,797","1,39,890","2,78,865","1,39,913"
(d) Current tax liabilities (net),,,1,1
Total Equity & Liabilities,"11,30,878","2,01,263","15,18,712","4,17,015"
